"Well","Content","OD405","pct_B_B0","predicted_conc","result_flag","Plate","Experiment","Drug","Infection"
"E5","Exp1 C1 L0 (1/1)",0.381,42.6141732283465,147.29927821157,"OK","Plate2","Exp1","C1","L0"
"E6","Exp1 C100 L0 (1/1)",0.459,57.3543307086614,89.3141298788106,"OK","Plate2","Exp1","C100","L0"
"E7","Exp2 C1 B0 (1/1)",0.406,47.3385826771654,125.09751710793,"OK","Plate2","Exp2","C1","B0"
"E8","Exp2 C100 B0 (1/1)",0.58,80.2204724409449,36.944677152836,"OK","Plate2","Exp2","C100","B0"
"E9","Exp2 C1 L0 (1/1)",0.493,63.7795275590551,71.6309829574012,"OK","Plate2","Exp2","C1","L0"
"F10","Exp2 C100 L1 (1/1)",0.505,66.0472440944882,66.0785467565412,"OK","Plate2","Exp2","C100","L1"
"F11","",0.409,47.9055118110236,122.710391493295,"OK","Plate2","","",""
"F12","",0,-29.3858267716535,NA,"> 1000","Plate2","","",""
"F4","Exp1 C100 B1 (1/1)",0.477,60.755905511811,79.5591909744326,"OK","Plate2","Exp1","C100","B1"
"F5","Exp1 C1 L1 (1/1)",0.408,47.7165354330709,123.500247973357,"OK","Plate2","Exp1","C1","L1"
"F6","Exp1 C100 L1 (1/1)",0.462,57.9212598425197,87.620176812369,"OK","Plate2","Exp1","C100","L1"
"F7","Exp2 C1 B1 (1/1)",0.401,46.3937007874016,129.196631247558,"OK","Plate2","Exp2","C1","B1"
"F8","Exp2 C100 B1 (1/1)",0.606,85.1338582677165,28.3789135909269,"OK","Plate2","Exp2","C100","B1"
"F9","Exp2 C1 L1 (1/1)",0.511,67.1811023622047,63.4155900382911,"OK","Plate2","Exp2","C1","L1"
"G10","Exp2 C100 L10 (1/1)",0.509,66.8031496062992,64.2952766321604,"OK","Plate2","Exp2","C100","L10"
"G11","",0.413,48.6614173228346,119.607807721993,"OK","Plate2","","",""
"G12","",0,-29.3858267716535,NA,"> 1000","Plate2","","",""
"G4","Exp1 C100 B10 (1/1)",0.44,53.7637795275591,100.763203296144,"OK","Plate2","Exp1","C100","B10"
"G5","Exp1 C1 L10 (1/1)",0.398,45.8267716535433,131.731916556774,"OK","Plate2","Exp1","C1","L10"
"G6","Exp1 C100 L10 (1/1)",0.447,55.0866141732283,96.3923912410852,"OK","Plate2","Exp1","C100","L10"
"G7","Exp2 C1 B10 (1/1)",0.436,53.007874015748,103.347759819734,"OK","Plate2","Exp2","C1","B10"
"G8","Exp2 C100 B10 (1/1)",0.55,74.5511811023622,47.6461944575215,"OK","Plate2","Exp2","C100","B10"
"G9","Exp2 C1 L10 (1/1)",0.509,66.8031496062992,64.2952766321604,"OK","Plate2","Exp2","C1","L10"
"H10","Exp2 C100 L100 (1/1)",0.528,70.3937007874016,56.2373472139857,"OK","Plate2","Exp2","C100","L100"
"H11","",0.421,50.1732283464567,113.661408304478,"OK","Plate2","","",""
"H12","",0,-29.3858267716535,NA,"> 1000","Plate2","","",""
"H4","Exp1 C100 B100 (1/1)",0.428,51.496062992126,108.720566237509,"OK","Plate2","Exp1","C100","B100"
"H5","Exp1 C1 L100 (1/1)",0.391,44.503937007874,137.883654234242,"OK","Plate2","Exp1","C1","L100"
"H6","Exp1 C100 L100 (1/1)",0.43,51.8740157480315,107.350924056455,"OK","Plate2","Exp1","C100","L100"
"H7","Exp2 C1 B100 (1/1)",0.407,47.5275590551181,124.295931930579,"OK","Plate2","Exp2","C1","B100"
"H8","Exp2 C100 B100 (1/1)",0.539,72.4724409448819,51.851954377814,"OK","Plate2","Exp2","C100","B100"
"H9","Exp2 C1 L100 (1/1)",0.511,67.1811023622047,63.4155900382911,"OK","Plate2","Exp2","C1","L100"
"A10","Exp4 C10 L0 (1/1)",0.43,45.980528511822,108.433280091535,"OK","Plate3","Exp4","C10","L0"
"A11","Exp3 DMSO 0 (1/1)",0.423,44.8122392211405,113.682388967771,"OK","Plate3","Exp3","DMSO","DMSO_0"
"A12","",0.401,41.1404728789986,132.035358878179,"OK","Plate3","","",""
"A4","Exp3 C10 B0 (1/1)",0.484,54.9930458970793,75.1390190207829,"OK","Plate3","Exp3","C10","B0"
"A5","Exp3 C0 L0 (1/1)",0.537,63.8386648122392,51.1982366493159,"OK","Plate3","Exp3","C0","L0"
"A6","Exp3 C10 L0 (1/1)",0.466,51.9888734353268,85.0138203748804,"OK","Plate3","Exp3","C10","L0"
"A7","Exp4 C0 B0 (1/1)",0.425,45.1460361613352,112.156096614968,"OK","Plate3","Exp4","C0","B0"
"A8","Exp4 C10 B0 (1/1)",0.516,60.3337969401947,59.893129006313,"OK","Plate3","Exp4","C10","B0"
"A9","Exp4 C0 L0 (1/1)",0.487,55.4937413073713,73.5920014189904,"OK","Plate3","Exp4","C0","L0"
