"Well","Content","OD405","pct_B_B0","predicted_conc","Plate","Experiment","Drug","Stimulus_type","Stimulus_dose","Stimulus_dose_num","Carprofen_conc"
"D5","Exp3 C10 B100 (1/1)",0.517,60.5006954102921,56.4928321098394,"Plate3","Exp3","C10","BCG","100",100,10
"D6","Exp3 C0 L100 (1/1)",0.327,28.7899860917942,230.267509269329,"Plate3","Exp3","C0","LPS","100",100,0
"D7","Exp3 C10 L100 (1/1)",0.414,43.3101529902642,117.365327399563,"Plate3","Exp3","C10","LPS","100",100,10
"D8","Exp4 C0 B100 (1/1)",0.439,47.4826147426982,98.1152466521591,"Plate3","Exp4","C0","BCG","100",100,0
"D9","Exp4 C10 B100 (1/1)",0.56,67.6773296244784,41.2218257722275,"Plate3","Exp4","C10","BCG","100",100,10
"E10","Exp4 C1 L0 (1/1)",0.472,52.990264255911,77.7122522699191,"Plate3","Exp4","C1","LPS","0",0,1
"E11","Exp4 C100 L0 (1/1)",0.378,37.3018080667594,153.174796079968,"Plate3","Exp4","C100","LPS","0",0,100
"E12","",0.154,-0.0834492350486788,3323.97963501501,"Plate3","","","Unknown",NA,NA,NA
"E4","Exp3 C1 B0 (1/1)",0.533,63.1710709318498,50.3309507615038,"Plate3","Exp3","C1","BCG","0",0,1
"E5","Exp3 C100 B0 (1/1)",0.363,34.798331015299,171.897558359431,"Plate3","Exp3","C100","BCG","0",0,100
"E6","Exp3 C1 L0 (1/1)",0.443,48.1502086230876,95.3686483287303,"Plate3","Exp3","C1","LPS","0",0,1
"E7","Exp3 C100 L0 (1/1)",0.388,38.970792767733,142.068102419699,"Plate3","Exp3","C100","LPS","0",0,100
"E8","Exp4 C1 B0 (1/1)",0.515,60.1668984700974,57.3080117475788,"Plate3","Exp4","C1","BCG","0",0,1
"E9","Exp4 C100 B0 (1/1)",0.453,49.8191933240612,88.8529482047483,"Plate3","Exp4","C100","BCG","0",0,100
"F10","Exp4 C1 L1 (1/1)",0.467,52.1557719054242,80.4985307848283,"Plate3","Exp4","C1","LPS","1",1,1
"F11","Exp4 C100 L1 (1/1)",0.391,39.471488178025,138.926304832486,"Plate3","Exp4","C100","LPS","1",1,100
"F12","",0.147,-1.25173852573018,4589.31418151564,"Plate3","","","Unknown",NA,NA,NA
"F4","Exp3 C1 B1 (1/1)",0.54,64.3393602225313,47.8231299055883,"Plate3","Exp3","C1","BCG","1",1,1
"F5","Exp3 C100 B1 (1/1)",0.458,50.653685674548,85.7714402165833,"Plate3","Exp3","C100","BCG","1",1,100
"F6","Exp3 C1 L1 (1/1)",0.445,48.4840055632823,94.0262314742149,"Plate3","Exp3","C1","LPS","1",1,1
"F7","Exp3 C100 L1 (1/1)",0.371,36.1335187760779,161.581034098252,"Plate3","Exp3","C100","LPS","1",1,100
"F8","Exp4 C1 B1 (1/1)",0.585,71.8497913769124,34.0037381652766,"Plate3","Exp4","C1","BCG","1",1,1
"F9","Exp4 C100 B1 (1/1)",0.468,52.3226703755216,79.9333550861918,"Plate3","Exp4","C100","BCG","1",1,100
"G10","Exp4 C1 L10 (1/1)",0.455,50.1529902642559,87.6067928270758,"Plate3","Exp4","C1","LPS","10",10,1
"G11","Exp4 C100 L10 (1/1)",0.385,38.4700973574409,145.295134640256,"Plate3","Exp4","C100","LPS","10",10,100
"G12","",0.153,-0.250347705146036,3465.12598423585,"Plate3","","","Unknown",NA,NA,NA
"G4","Exp3 C1 B10 (1/1)",0.526,62.0027816411683,52.9504432925349,"Plate3","Exp3","C1","BCG","10",10,1
"G5","Exp3 C100 B10 (1/1)",0.485,55.1599443671766,70.9076301432361,"Plate3","Exp3","C100","BCG","10",10,100
"G6","Exp3 C1 L10 (1/1)",0.434,46.6481223922114,101.668775493604,"Plate3","Exp3","C1","LPS","10",10,1
"G7","Exp3 C100 L10 (1/1)",0.379,37.4687065368567,152.0179874134,"Plate3","Exp3","C100","LPS","10",10,100
"G8","Exp4 C1 B10 (1/1)",0.503,58.1641168289291,62.4268269180388,"Plate3","Exp4","C1","BCG","10",10,1
"G9","Exp4 C100 B10 (1/1)",0.442,47.9833101529903,96.047498196438,"Plate3","Exp4","C100","BCG","10",10,100
"H10","Exp4 C1 L100 (1/1)",0.425,45.1460361613352,108.42385857037,"Plate3","Exp4","C1","LPS","100",100,1
"H11","Exp4 C100 L100 (1/1)",0.371,36.1335187760779,161.581034098252,"Plate3","Exp4","C100","LPS","100",100,100
"H12","",0.153,-0.250347705146036,3465.12598423585,"Plate3","","","Unknown",NA,NA,NA
"H4","Exp3 C1 B100 (1/1)",0.499,57.4965229485396,64.2243715119939,"Plate3","Exp3","C1","BCG","100",100,1
"H5","Exp3 C100 B100 (1/1)",0.494,56.6620305980529,66.5394307057467,"Plate3","Exp3","C100","BCG","100",100,100
"H6","Exp3 C1 L100 (1/1)",0.442,47.9833101529903,96.047498196438,"Plate3","Exp3","C1","LPS","100",100,1
"H7","Exp3 C100 L100 (1/1)",0.431,46.1474269819193,103.86777123048,"Plate3","Exp3","C100","LPS","100",100,100
"H8","Exp4 C1 B100 (1/1)",0.525,61.8358831710709,53.33414057884,"Plate3","Exp4","C1","BCG","100",100,1
"H9","Exp4 C100 B100 (1/1)",0.451,49.4853963838665,90.1175937037332,"Plate3","Exp4","C100","BCG","100",100,100
